src_lang,tgt_lang,src_text,tgt_text,src_len,tgt_len,src_tokens,tgt_tokens,lang_pair,translation,bleu
nb,da,Enkelhet av design og installasjon;,enkel design og installation;,35,29,5,4,nb_da,Simpelhed af design og installation;,50.81327481546149
nb,da,"Ekspedisjonen foretok vitenskapelige observasjoner og kartlegging, og i havet rundt øya ble det foretatt oseanografiske observasjoner.","Ekspeditionen foretog videnskabelige observationer og kortlægning, og i havet omkring øen blev der foretaget oceanografiske observationer.",134,138,16,16,nb_da,"Eksperditionen foretog videnskabelige observationer og overvåge, og i havet omkring øen blev der foretaget osseanografiske observationer.",62.685933350049744
nb,da,"Noen mistenkelige oppdateringsforespørsler vises på skjermen og de kommer ikke fra OS, de er bare pop-ups, fungerer på samme måte som falske annonser - en gang klikket, de snike viruset inne din PC.","Nogle mistænkelige opdateringsanmodninger vises undertiden på din skærm og de kommer ikke fra dit OS, de er simpelthen pop-ups, arbejder på samme måde som de falske annoncer - engang klikkede på, de snige sig virus inde i din PC.",198,229,33,39,nb_da,"Nogle mistænkelige opdateringsforespørgsler vises på skærmen og de kommer ikke fra OS, de er bare pop-ups, virker på samme måde som falske reklamer - engang, de snydige viruse ind i din pc.",24.638613440058254
nb,da,"Den nye Veet Essential Inspirations hårfjerningskrem fjerner ikke bare hår nær roten, men fungerer også godt på korte hår.",Essential Inspirations hårfjerningscreme fjerner ikke alene nænsomt hårene tæt på roden men er også effektiv over for korte hår.,122,128,19,19,nb_da,"Den nye ting Essential Inspirations hårfjerningsssnæm fjerner ikke kun hår nær roden, men fungerer også godt på korte hår.",11.124661907380256
nb,da,Det er ganske høyt over normal nivået.,Det er langt over vanlig niveau.,38,32,7,6,nb_da,Det er meget højt over normale niveau.,16.515821590069027
nb,da,"Selv hadde de sendt sine beste menn, Njord og Frøy.",Selv havde de sendt deres bedste mænd Njord og Frej.,51,52,10,10,nb_da,"Selv havde de sendt deres bedste mænd, Njord og frøj.",58.59059370151705
nb,da,"8 Men Daniel satte sig fore at han ikke vilde gjøre sig uren med kongens kostelige mat og med den vin han drakk, og han bad den øverste hoffmann om at han måtte være fri for således å gjøre sig uren.","8 Men Daniel satte sig for, at han ikke vilde gøre sig uren med kongens Mad eller den Vin Kongen drak; derfor bad han Overhofmesteren om at blive fri for at gøre sig uren dermed.",199,178,41,35,nb_da,"8 Men Daniel satte sig sige, at han ikke vilde gøre sigg uren med kongens koste mad og med den vin han drak, og han bad den øverste hoffmand om, at han skulle være fri for således at gøre sig selv uren.",25.671616066820484
nb,da,At frikoplingen til giret er i låst stilling.,At frikoblingen til gearet er i låst stilling.,45,46,8,8,nb_da,At frigøre forbindelsen til den givne stilling er låst.,6.567274736060395
nb,da,Du vil også vite om noen andre i familien har navnet ditt.,"Du vil også gerne vide, om nogen i familien har dit navn.",58,57,12,12,nb_da,"Du vil også vide, om nogen andre i din familie har navnet dit navn.",29.615165360116254
nb,da,"Bøyer vi hodet, dytter tyngdekraften borti massen slik at hårcellene flytter seg og sender nervesignaler til hjernen.","Bøjes hovedet, vil tyngdekraften skubbe til massen, så hårcellerne flytter sig og sender nervesignaler til hjernen.",117,115,17,16,nb_da,"Bøjer vi hovedet, skubber tyngdekraften væk i massen, så hårcellerne bevæger sig og sender nervesignaler til hjernen.",45.30777803692813
nb,da,Neck regnjakke - Fås i flere varianter,Geek poly jakke - Fås i flere varianter,38,39,7,8,nb_da,Neck regnykke - Fås i flere varianter,53.29462628216855
