src_lang,tgt_lang,src_text,tgt_text,src_len,tgt_len,src_tokens,tgt_tokens,lang_pair,translation,bleu
da,nb,Er lykke ens for alle?,Det er lykke for alle?,22,22,5,5,da_nb,Er lykkelig for alle?,32.555630133216134
da,nb,"Men hvad nu, hvis det stiger?",Men hvis den stiger?,29,20,6,4,da_nb,Men hva om det stiger nå?,8.643019616048525
da,nb,"Tamtron Sverige AB skal varetage salg af mobile veje- og registreringsløsninger samt tilhørende softwareløsninger, herunder Tarp Office-GTC administrationssystem.","Scaleit skal ivareta salg av mobile veie- og registeringsløsninger og tilhørende software løsninger, herunder Tarp Office-GTC administrasjonssystem.",162,148,18,17,da_nb,"Tamtron Sverige AB varetage salg av mobile veier og registreringsløsninger samt tilhørende programvareløysinger, herunder Tarp Office-GTC administrasjonssystem.",33.38080021677296
da,nb,Time-for-time vejrudsigt for Drobeta-Turnu Severin,Time-for-time værvarsel for Drobeta-Turnu Severin,50,49,5,5,da_nb,Timefor-time værutsikt for Drobeta-Turnu Severin,39.76353643835252
da,nb,"Studieprogrammet er i overensstemmelse med Grand Canyon University mission om at udvikle elever, der er globale borgere, kritiske tænkere, effektive kommunikatorer og ansvarlige ledere.","Studiet er i samsvar med Grand Canyon University oppdrag å utvikle elever som er globale borgere, kritiske tenkere, effektive kommunikatorer og ansvarlige ledere.",185,162,24,23,da_nb,"Studieprogrammet er i samsvar med Grand Canyon University å utvikle elever som er globale borgere, kritiske tenkere, effektive kommunikatorer og ansvarlige ledere.",85.46472208904508
da,nb,"Alle transaktioner på Svea finans er krypteret med den højest mulige sikkerhed og, Tail it vil ikke have adgang til dine kortoplysninger.",Samtlige transaksjoner hos Svea Finans er kryptert med høyest mulig sikkerhet og Gator ser aldri dine kortopplysninger.,137,119,22,17,da_nb,Alle transaksjonar på Svea finans er kryptert med den høgast mulige sikkerhet og Tail it vil ikkje ha tilgang til dine kortinformasjon.,8.668528067348738
da,nb,"Fordi disse symptomer er forbundet med depression, er depression behandling er nødvendig for at løse dem.","Fordi disse symptomene er knyttet til depresjon, er depresjon behandling er nødvendig for å løse dem.",105,101,16,16,da_nb,"Fordi symptomene er forbundet med depresjon, er depresjonsbehandlingen nødvendig for å løse dem.",37.48830057524345
da,nb,"»Hvis lyset går ud i Vesten, så vil Østen stadig skinne.","- Slukker de lyset i Vesten, vil Østen fremdeles skinne.",56,56,11,10,da_nb,"""Hvis lysene går ut i Vesten, så vil Østen fremdeles skinnne.",20.098339913206324
da,nb,"Det er de tre normalt produceres anabolske steroider, hvorigennem alle andre anabolske steroider stammede fra og baseret på.","Dette er de tre naturlig foretatt anabole steroider gjennom som alle andre anabole steroider er stammer fra, og også basert på.",124,127,18,21,da_nb,De tre vanlegvis produseres anabolske steroider der alle andre anabolaroider stamme fra og basert på.,8.560693512989548
da,nb,► Der er ingen begrænsninger ved behandling med Actrapid under amning.,►Det er ingen restriksjoner for behandling med Actrapid under amming.,70,69,11,10,da_nb,I det minste er det ingen restriksjoner ved behandling med Actrapid under aming.,22.718709780542323
