src_lang,tgt_lang,src_text,tgt_text,src_len,tgt_len,src_tokens,tgt_tokens,lang_pair,translation,bleu
en,sv,"They couldn't ask her about it, because she didn't speak their language.",Han kan ju dock inte förklara det för henne eftersom han inte kan prata hennes språk.,72,85,12,16,en_sv,"De kunde inte fråga henne om det, för hon talade inte deras språk.",6.2915855898775845
en,sv,He was reported missing after he did not return home as expected.,Fyra personer anmäldes saknade efter att de inte kommit hem som planerat.,65,73,12,12,en_sv,Han anmäldes saknad efter att han inte återvänt hem som förväntat.,10.135943830402923
en,sv,"For the second year in succession, DAF Trucks has scooped the 'Truck of the Year' title for its market-leading DAF LF range at the UK's 2018 Commercial Fleet Awards.",För det andra året i rad har DAF Trucks fått utmärkelsen ¨årets lastbil¨ i Storbritannien för sitt marknadsledande DAF LF-distributionsområde vid 2018 Commercial Fleet Awards.,165,175,29,25,en_sv,"För andra året i rad har DAF Trucks tagit hem titeln ""Årets Truck of the Year"" för sitt marknadsledande DAF LF-sortiment vid Storbritanniens utmärkelse för den kommersiella flottan 2018.",29.11321657814561
en,sv,"This study shows the viewpoints of the two sides, those who are for and those who are against.","I studien framgår det att det finns tre åsiktsläger, de som är för, de som är emot och de som är både och.",94,106,18,23,en_sv,"Denna studie visar de båda sidornas synpunkter, de som är för och de som är emot.",26.98470544963014
en,sv,"What are Provided in U.S. law,","vad som anges i polistillståndet"",",30,34,6,5,en_sv,"Vad som föreskrivs i amerikansk lag,",8.643019616048525
en,sv,What was missing was a specific date.,Det vi saknar är bara ett specifikt datum.,37,42,7,8,en_sv,Det som saknades var ett specifikt datum.,32.260135189272866
en,sv,What happens if I have an overage?,Vad händer om jag har en överdos?,34,33,7,7,en_sv,Vad händer om jag har en overage?,70.71067811865478
en,sv,The people would not always listen.,Människor vill inte alltid lyssna.,35,34,6,5,en_sv,Människorna lyssnade inte alltid.,19.3576934939088
en,sv,Daniel Pipes: I would say that it isn't trying to win; it has no idea what it is doing.,Daniel Pipes: Jag skulle säga att de inte försöker vinna; man har ingen aning om vad man gör.,87,93,19,18,en_sv,Daniel Pipes: Jag skulle säga att den inte försöker vinna; den har ingen aning om vad den gör.,59.19783121240429
en,sv,It solves the difficult problem of the straight rod mop bending down and the garbage debris being pushed and pushed to the bottom.,Det löser det svåra problemet med den raka stångmoppen böjer sig ner och skräpskräpet pressas och skjuts till botten.,130,117,23,19,en_sv,Det löser det svåra problemet med den raka stången moppen böjer sig ner och skräp skräpet trycks och trycks till botten.,49.296643949535216
