src_lang,tgt_lang,src_text,tgt_text,src_len,tgt_len,src_tokens,tgt_tokens,lang_pair,translation,bleu
nb,sv,"Vi er selv lidenskapelige gamere har hos MSI, og vi vet akkurat hva som kreves for at man skal få nettopp det, den beste spillopplevelsen.Vi tar vare på dine interesser enten du er en konkurranseorientert gamer på utkikk etter en fordel, eller du vil nyte spillene visuelle pomp og prakt.MSI GeForce GTX 1080 TI Gaming X11G er det ultimate våpenet for deg som skal oppgradere gaming-PCen din.","På MSI är vi väldigt passionerade spelare och vi vet precis vad som krävs för en optimal spelupplevelse.Vare sig du är en tävlingsinriktad gamer som letar efter en liten fördel gentemot konkurrenterna och vill ha en bättre chans att vinna viktiga matcher, alternativt bara vill uppleva spel på snyggast tänkbara sätt, så har vi dig täckt.MSI GeForce GTX 1080 TI Gaming X11G är det ultimata vapnet när du ska uppgradera din utrustning.",392,434,67,72,nb_sv,"Vi är själv passionerade gammare har hos MSI, och vi vet exakt vad som krävs för att få det, den bästa spelupplevelsen. Vi tar hand om dina intressen antingen du är en konkurrensorienterad gamma efter en fördel, eller du skulle nyskapa spel visuella amp och praktiken. Ge Force GTX 1080 Timing X11G är det ultima vapen för dig att uppgradera gaming-PC.",8.332149502283844
nb,sv,"Jeg sitter på jobb nå (shh, ikke si det til noen).","Jag satte remsan lite snett (ssshhh, säg inget till nån) så",50,59,11,11,nb_sv,"Jag sitter på jobbet nu (shhh, inte säga det till någon).",3.9297193407553004
nb,sv,"Hovedrollen i denne foreningen tilhører vitamin A, det er retinol.","Huvudrollen i denna union hör till vitamin A, det är retinol.",66,61,10,11,nb_sv,"Huvudrollen i denna föreläsning tillhör vitamin A, det är retinol.",58.33510584342546
nb,sv,"Selvsagt så kan produkter som silke-baby-dolls; pene og fargerike BH-er og truser; hofteholdere; teddier med blonder forbedre elskovs-opplevelsen, men nå ser kvinner mer i bildet … Les mer","Speciellt saker som silkeaktiga dockor; Vackra, färgglada BH-ar och trosor; hängslen; Lacy teddies etc kan förbättra upplevelsen att älska, men nu ser kvinnor mer på bilden som bara det.",188,186,28,29,nb_sv,"Självklart kan produkter som silke-baby-dolls, penna och färgrika BH- och trosor, höfter, teddier med bättre elskov-upplevelsen, men nu ser kvinnor mer i bilden... Läs mer",16.523274708811627
nb,sv,Moro: Vi tror humor er avgjørende for suksess.,Fun: Vi tror att humor är avgörande för framgång.,46,49,8,9,nb_sv,Moro: Vi tror humor är avgörande för framgång.,59.54165059120785
nb,sv,"Det finnes mange forskjellige typer massasje, inkludert disse vanligste typene:","Det finns många olika typer av massage, inklusive dessa vanliga typer:",79,70,10,11,nb_sv,"Det finns många olika typer av massage, inklusive följande vanligaste typer:",70.16035864257111
nb,sv,Men hver dag var vi bekymret.,Men vi arbetar varje dag var orolig om.,29,39,6,8,nb_sv,Men varje dag var vi orolig.,22.7049500496993
nb,sv,Dette er click-through-rate og gjennomsnittlig publikum retention rate.,Detta är click-through rate och den genomsnittliga publiken kvar.,71,65,8,9,nb_sv,Det här är Click-through-frekvens och genomsnittlig publik retionsfrekvens.,5.61480827173619
nb,sv,Restauranter i nærheten av Amherst Wandlyn Inn,Restauranger i närheten av Amherst Wandlyn Inn,46,46,7,7,nb_sv,Restauranger i närheten av Amherst Wandlyn In,80.91067115702207
nb,sv,Irene har lang erfaring som massør.,Marianne har lång erfarenhet som massör.,35,40,6,6,nb_sv,Irerna har lång erfarenhet som massör.,80.91067115702207
nb,sv,Det er hverken den beste eller den dårligste renten i vår test.,Varken det bästa eller sämsta vår testpatrull har stött på.,63,59,12,10,nb_sv,Det är varken den bästa eller den dåligaste räntan i vårt test.,6.837203339116283
nb,sv,Betingelsesløs kjærlighet! :),Helt oändlig kärlek! :),29,23,3,4,nb_sv,Öppningslös kärlek! :),54.75182535069452
nb,sv,"Den er selvdrenerende, lettplanende, meget stabil og solid.","Den är självlänsade, lättplanande, mycket stabil och solid.",59,59,8,8,nb_sv,"Det är självklart, lättplanerande, mycket stabilt och solid.",19.081654556856684
nb,sv,"Eksperter som har intensiv læring og tilhørende kunnskap i bruk av virtualiseringsinfrastrukturer, verter og besøkende som bruker Red Hat Enterprise Virtualization, kan gå for denne sertifiseringen.","Experter som har intensiv inlärning och relaterad kunskap om användning av virtualiseringsinfrastrukturer, värdar och besökare som använder Red Hat Enterprise Virtualization kan gå för denna certifiering.",198,204,26,26,nb_sv,"Experter som har intensiv utbildning och tillhörande kunskaper i användningen av virtualiseringsinfrastrukturer, värdar och besökare som använder Red Hat Enterprise Virtualization kan gå för denna certifiering.",72.05743386699484
nb,sv,Nederst på lårene er det lagt inn en refleksdetaljer som gir god synlighet og en bred silikonkant som sørger for at sykkelshortsen sitter som støpt under aktivitet.,Nederst på låren har vi lagt in reflexdetaljer som ger bra synlighet samt en bred silikonkant som sörjer för att cykelshortsen sitter som gjutna under aktivitet.,164,161,27,26,nb_sv,Längst ner på lådorna finns en reflexdetaljer som ger bra synlighet och en bred silikonkan som sörjer för att cykelshortsen sitter som damm under aktiviteten.,38.26960401232686
nb,sv,Omfattende og rettidig diagnose lar deg lage riktig behandlingsregime for hvert klinisk tilfelle.,Omfattande och snabb diagnos gör att du kan skapa rätt behandlingsschema för varje kliniskt fall.,97,97,13,15,nb_sv,Omfattande och rättvisa diagnoser låter dig skapa rätt behandling för varje kliniskt fall.,29.541521129385654
nb,sv,GRATIS domene med årsplan,Kostnadsfri domän med årsprogram,25,32,4,4,nb_sv,GRATIS- domän med årsplan,31.947155212313625
nb,sv,"Hvis du kommer for nær, kan foreldrene forlate reir og unger, som da kan gå en tidlig død i møte.","Om du kommer för nära kan föräldrarna lämna bo och ungar, som då kan gå en tidig död till mötes.",97,96,20,20,nb_sv,"Om du kommer för nära kan föräldrarna lämna reir och ungar, som då kan gå en tidig död i mötet.",73.4411253978718
nb,sv,I denne filmsnutten synger faren «You are so beautiful to me» til datteren sin - og dette er et vakkert øyeblikk.,"I det här filmklippet sjunger pappan ""You are so beautiful to me"" för sin dotter - och det är verkligen ett vackert",113,115,21,22,nb_sv,"I den här filmen sjunker fadern ""You area soutiful två mästar"" till sin dotter - och detta är ett vackert ögonblick.",14.610534486579725
nb,sv,Hva er så DNSSEC,Vad är DNSSEC?,16,14,4,3,nb_sv,Vad är då DNSEC,31.947155212313625
nb,sv,Jeg er alltid den jenta som stiller opp for andre.,Jag är en tjej som alltid ställer upp på andra.,50,47,10,10,nb_sv,Jag är alltid den tjej som ställer upp för andra.,15.439094769817242
nb,sv,Hoteller i nærheten av Blue Ocean Spa & Nails,Hotell nära Blue Ocean Spa & Nails,45,34,9,7,nb_sv,Hotell i närheten av Blue Ocean Spa & Nails,46.713797772819994
nb,sv,Hun skrider inn som om hun eier stedet.,Hon spatserar alltid in som om hon ägde stället.,39,48,8,9,nb_sv,Hon skrider in som om hon äger platsen.,29.5580130165708
nb,sv,Utfør en fabrikktilbakestilling via Innstillinger,Utföra en fabriksåterställning via Inställningar,49,48,5,5,nb_sv,Utför en fabrikstilldelning via Inställningar,23.643540225079384
nb,sv,"De fleste reisende setter kursen rett mot Stockholm, men Sveriges travleste havneby har mye å by på.","De flesta turister åker raka vägen till Stockholm, men Sveriges största hamnstad har mycket att bjuda på.",100,105,17,17,nb_sv,"De flesta resande ställer kursen rakt mot Stockholm, men Sveriges travaste hav har mycket att bo på.",22.323086517321766
nb,sv,"Windows 7: Opp og Running er en utmerket ressurs for noen som allerede er kjent med Windows, og trenger ikke ""dette er musen"" med håndholdingen.","Windows 7: Upp och Running är en utmärkt resurs för någon som redan är bekant med Windows och behöver inte ""det här är din mus"" handhållande.",144,141,25,26,nb_sv,"Windows 7: Upp och Running är en utmärkt resurs för någon som redan är bekant med Windows, och behöver inte ""detta är mus"" med handhållning.",69.74570487057935
nb,sv,Klem fra tante 😉,Kram från Tant Anna 😉,16,21,4,5,nb_sv,Kläm från bana,14.127216461522432
nb,sv,"Det var en 14 år gammel syrisk flyktning som drepte den 15 år gamle Arminas Pileckas med kniv på en skole i Sverige, 15 åringen ble drept etter han forsvarte noen av jentene ved skolen og ba syriske Ahmad Ahlajali om å slutte å plage jentene.","Det var den 14-årige syriske flyktingen som dödade 15-åriga Arminas Pileckas med en kniv på en skola i Sverige, 15-åringen dödades efter att han försvarat några av flickorna i skolan, som sa till den Syriske Ahmad Ahlajali att sluta trakassera flickorna.",242,254,46,41,nb_sv,"Det var en 14-årig flykting som dödade den 15 år gamla Arminas Piluckas med kniv på en skola i Sverige, 15 åringen dödades efter han försvarade några av flickorna vid skolan och ba syriska Ahlalian om att sluta plaga flickorna.",24.373891433156288
nb,sv,Store besparelser på ubegrensede underdomener.,Seriös rabatt på obegränsade underdomäner.,46,42,5,5,nb_sv,Stora besparingar vid obegränsade underdomäner.,30.213753973567677
nb,sv,Det var det første som kom opp i hodet.,- Det var det första som kom upp i huvudet.,39,43,9,10,nb_sv,Det var det första som kom upp i huvudet.,90.48374180359599
nb,sv,"Internt i Edrington sitt internasjonale nettverk, er det et program som ønsker å bringe Robertson søstrene sine ideer og generøsitet til live rundt om i verden.","Inom Edringtons internationella verksamhet finns ""Giving More International"" som är ett välgörenhetsprogram med syfte att verka i systrarna Robertsons anda och förverkliga deras generositet i världen.",160,200,26,26,nb_sv,"Internt i Eddton sitt internationella nätverk, är det ett program som vill ta Robertson systrarna sina idéer och generösitet till liv om i världen.",6.991707601583982
nb,sv,Hvordan slutte å være hypokondriak?,Hur ska man inte bli hypokondrisk då?!,35,38,5,7,nb_sv,Hur slutade vara hypokondriak?,5.70796903405875
nb,sv,"Uansett årsak, endret livet til Garcilaso seg fullstendig.",Hursomhelst förändrade Garcilasos beslut hans liv helt och hållet.,58,66,8,9,nb_sv,"Oavsett, ändra livet till Garciillaso helt.",5.11459870708889
