src_lang,tgt_lang,src_text,tgt_text,src_len,tgt_len,src_tokens,tgt_tokens,lang_pair,translation,bleu
da,en,klovn ribe,Klovn Knifefish,10,15,2,2,da_en,clown ribe,0.0
da,en,Tid gå spil (8),Time pass games (8),15,19,4,4,da_en,Time go game (8),32.46679154750991
da,en,"smuk, russisk","beauty, blonde",13,14,2,2,da_en,"Beautiful, russian",27.516060407455225
da,en,Modelnummer: DK-13,Model Number: DK-13,18,19,2,3,da_en,Model number: DK-13,35.35533905932737
da,en,gør aktiv leg,make active play,13,16,3,3,da_en,do active play,55.03212081491043
da,en,Thrust rullelejer,Thrust Roller Bearing,17,21,2,3,da_en,Thrust roller bearings,27.516060407455225
da,en,Skænke og TV-borde,Sideboards and TV-storage,18,25,3,3,da_en,Sideboards and TV tables,31.947155212313625
da,en,Bestyrelsen,The School Board,11,16,1,3,da_en,Management Board,30.326532985631665
da,en,"En polsk undersøgelse af atleter, der spillede amerikansk fodbold, brugte en undersøgelse for at se, hvilke kosttilskud de tog for bedre energiniveauer, muskelmasse og styrke (direkte forbundet med knogler og fælles sundhed) og forbedret fysisk kapacitet.","A Polish study of athletes playing American football used a survey to see what dietary supplements they were taking for better energy levels, muscle mass and strength (directly connected to bone and joint health) and improved physical capacity.",255,244,36,38,da_en,"A Polish study of athletes playing American football used a study to see which supplements they took for better energy levels, muscle mass and strength (directly associated with bones and common health) and improved physical capacity.",61.06203763835876
da,en,Populære tube film,Popular tube videos,18,19,3,3,da_en,Popular tube film,55.03212081491043
da,en,Filtre Knæbeskytter,Filter cleaner,19,14,2,2,da_en,Filters Knee protector,0.0
da,en,Religioner,Folk religion,10,13,1,2,da_en,Religions,0.0
da,en,Vis bestillingskurv,Streaming Servers,19,17,2,2,da_en,Show Cart,0.0
da,en,Måle konverter,Currency Converter,14,18,2,2,da_en,Measuring Converter,49.99999999999999
da,en,søster (11482),nurse (11842),14,13,2,2,da_en,Sister (11482),18.99589214128981
da,en,Vurdere: Kommentere,Set score: Comment,19,18,2,3,da_en,Evaluation: Comment,39.43223765116288
da,en,FISKER MOTORCYKLER,MOTORBIKE PARTS,18,15,2,2,da_en,FISHING ENGINE CYCLES,0.0
da,en,Send forespørgsel,Send enquiry now,17,16,2,3,da_en,Send Request,30.326532985631665
da,en,Glemt adgangskode?,Open a Support Ticket,18,21,2,4,da_en,Forgot password?,0.0
da,en,Fotos og video,Mission and vision,14,18,3,3,da_en,Photos and videos,27.516060407455225
da,en,Den er stor.,It is big.,12,10,3,3,da_en,It's big.,39.43223765116288
da,en,Kongeriget Danmark,United Kingdom,18,14,2,2,da_en,Kingdom of Denmark,27.516060407455225
da,en,Moden kone,Mature wife,10,11,2,2,da_en,Mature wife,100.00000000000004
da,en,Pejs / ildsted,Fire escape,14,11,3,2,da_en,Fireplace,0.0
da,en,"Gæsterne kan finde et kasino, en solterrasse og en tennisbane og gøre brug af et wellnesscenter, et spabad og en sauna på ejendommen. Crowne Plaza Surfers Paradise giver et træningscenter og fitness center for at hjælpe gæsterne med at holde sig i form.","Guests can benefit from beauty therapy, waxing and massage at the hotel. Active travelers will appreciate a gym and a fitness centre available on site.",253,151,43,25,da_en,"Guests can find a casino, a sun terrace and a tennis court and make use of a wellness centre, a hot tub and a sauna at the property. Crowne Plaza Surfers Paradise provides a gym and fitness center to help guests stay fit.",5.347327593572382
da,en,Tallink Silja Line,Tallink Silja's own offices,18,27,3,4,da_en,Tallink Silja Line,19.716118825581447
da,en,Bestillingskurv,Cheap Reseller,15,14,1,2,da_en,Shopping Cart,0.0
da,en,Steder i Danmark,Places in Puerto Rico,16,21,3,4,da_en,Places in Denmark,39.43223765116288
da,en,Birk (finsk),Birch (Finnish),12,15,2,2,da_en,Birch (Finnish),100.00000000000004
da,en,Samos Magaluf,Lively Magaluf,13,14,2,2,da_en,Samos Magaluf,49.99999999999999
da,en,"amatør, tegnefilm","cartoon, girlfriend",17,19,2,2,da_en,"amateur, cartoon",34.66806371753173
da,en,Broderiprodukter,Embroidery Products,16,19,1,2,da_en,Embroidery products,49.99999999999999
da,en,Mennesker trænet,People trained,16,14,2,2,da_en,People Trained,49.99999999999999
da,en,Program Beskrivelse:,Program Description:,20,20,2,2,da_en,Program Description:,100.00000000000004
da,en,Brunch på stan,Brunch in town,14,14,3,3,da_en,♪ Brunch on the rock ♪,8.116697886877475
da,en,Affiliate-detaljer,Affiliate Details,18,17,1,2,da_en,Affiliate Details,100.00000000000004
da,en,Du er 3 uger gravid,You are 3 weeks pregnant,19,24,5,5,da_en,You are 3 weeks pregnant,100.00000000000004
da,en,Kristi dit,Kristi says,10,11,2,2,da_en,♪ Christ yours ♪,0.0
da,en,Nylon Tilbedelse,Asian Pounded,16,13,2,2,da_en,Nylon Worship,0.0
da,en,og delsikring.,infection.,14,10,2,1,da_en,and partial safety.,15.97357760615681
da,en,tyskland Mobil 32,germany mobile 32,17,17,3,3,da_en,Germany Mobile 32,27.516060407455225
da,en,Premium medlemskab,Premium Memberships,18,19,2,2,da_en,Premium membership,49.99999999999999
da,en,Kategori: Solgte ure,Category: Watches sold,20,22,3,3,da_en,Category: Sold watches,31.947155212313625
da,en,ANDREA (I-SNAK),MARCO (I-MILE),15,14,2,2,da_en,OTHERA (I-SNAK),18.99589214128981
da,en,Sorte Trusser,Glasses Facial,13,14,2,2,da_en,Black Panties,0.0
da,en,Bilplejen Vestjylland,Auto Parts Store,21,16,2,3,da_en,Carcaren Vestjylland,0.0
da,en,Gå til easy camp tv,Festivals by Easy Camp,19,22,5,4,da_en,Go to easy camp TV,0.0
da,en,Radarreflektorer,Radar Reflectors,16,16,1,2,da_en,Radar reflectors,49.99999999999999
da,en,Besøg produktsiden,Visit our product portfolio,18,27,2,4,da_en,Visit the product page,18.99589214128981
da,en,Højre robots.txt,Correct robots.txt,16,18,2,2,da_en,Right robots.txt,59.460355750136046
da,en,31. Fortsæt ad Gufa.,31. Continue onto Gufa.,20,23,4,4,da_en,31. Proceed with Gufa.,22.957488466614336
da,en,Ikonisk klassiker,Golden Icon,17,11,2,2,da_en,Iconic Classic,0.0
da,en,Få Support,Get Listed,10,10,2,2,da_en,Get Support,49.99999999999999
da,en,Bedømmelsen (5),Assessment(5),15,13,2,1,da_en,Rating (5),59.460355750136046
da,en,Detaljer & Pleje,Material and Care,16,17,3,3,da_en,Details & Care,27.516060407455225
da,en,Del#:LS6-KIT,Part#:LS6-KIT,12,13,1,1,da_en,Part#:LS6-KIT,100.00000000000004
da,en,"Holsøe Arkitekter har været totalrådgiver ved opførelsen af et nyt orangeri til Omsorgscentret Breelteparken. Projektet består desuden af renovering af ca. 1,5 km overdækkede gangforbindelser samt ny udvendig elevator fra plejeboligerne til omsorgscentret.",Holsøe Architects has been a full-service consultant in the construction of a new orangery to the care center Breelteparken. The project also consists of renovation of approx. 1.5 km roofed connections and a new exterior elevator from nursing homes to care center.,256,264,33,42,da_en,Holsøe Architects has been a total advisor in the construction of a new orange to the Breelteparken Centre. The project also consists of renovation of approx. 1.5 km covered walkways and new exterior lift from the nursing homes to the care centre.,50.50992089516806
da,en,KRISTIAN KRISTENSEN,RYAN BINGHAM,19,12,2,2,da_en,CHRISTIAN CHRISTIAN CHRISTENSEN,0.0
da,en,Surf grej udlejning,Surf Course,19,11,3,2,da_en,Surf gear rental,27.516060407455225
da,en,Side 5* _ Hamborg,Continental 5* _ Oslo,17,21,4,4,da_en,Page 5* _ Hamburg,39.76353643835252
da,en,Mikrobølgeovn,Microwaves,13,10,1,1,da_en,Microwave oven,0.0
da,en,Capoeira kurser,Capoeira shows,15,14,2,2,da_en,Capoeira courses,49.99999999999999
da,en,Appli Smartsheet,Google and Smartsheet,16,21,2,3,da_en,Apple Smartsheet,30.326532985631665
da,en,Rejsen til Saturn,Journey to Saturn,17,17,3,3,da_en,The Journey to Saturn,59.460355750136046
da,en,Unikke Tæpper,Unique Rugs,13,11,2,2,da_en,Unique Blankets,49.99999999999999
da,en,ekstrem blød,extremely soft,12,14,2,2,da_en,extreme soft,49.99999999999999
da,en,Søde Breakfast,Sweet Breakfast,14,15,2,2,da_en,Sweet Breakfast,100.00000000000004
da,en,Tilmeld Login,Sign Up Sign In,13,15,2,4,da_en,Subscribe Login,0.0
da,en,Kig på denne fil:,Look at this file:,17,18,4,4,da_en,Look at this file:,100.00000000000004
da,en,Restaurant og fest,Lounge and bar,18,14,3,3,da_en,Restaurant and party,27.516060407455225
da,en,Lesbisk amatør hd,Sex slaver hd,17,13,3,3,da_en,Lesbian amateur hd,27.516060407455225
da,en,Mugafvisende,Accessories,12,11,1,1,da_en,Mug-repellent,0.0
da,en,Anmode om en funktion,Request a feature,21,17,4,3,da_en,Request a function,55.03212081491043
da,en,Om Auto nyheder,About Auto News,15,15,3,3,da_en,About Auto News,100.00000000000004
da,en,Cape torve (650),Baleful Cloak (650),16,19,3,3,da_en,Cape squares (650),39.76353643835252
da,en,Capricorno tilbyder lufthavnstransport efter anmodning og mod tillægsgebyr hvis gæsterne sender deres flynummer og ankomsttidspunkt. Chaufføren venter på dig i ankomsthallen i Wien Internationale Lufthavn (navneskilt) og hjælper dig også med bagagen.,"The Capricorno offers an airport shuttle on request and at a surcharge, if guests send their flight number and arrival time. The driver will wait for you in the arrival hall at the Vienna International Airport (name tag) and will also help you with the luggage.",250,261,32,46,da_en,Capricorno offers airport shuttle service on request and at an additional cost if guests send their flight number and arrival time. The driver waits for you in the arrival hall of Vienna International Airport (name sign) and also helps you with your luggage.,47.68979132669411
da,en,Hvad er Mindapps.dk?,What is Mindapps.dk?,20,20,3,3,da_en,What is Mindapps.dk?,100.00000000000004
da,en,Samarbejdspartnere,Programmer,18,10,1,1,da_en,Partners,0.0
da,en,Bestil tid,Make an appointment,10,19,2,3,da_en,Order Time,0.0
da,en,fald i muskel tone.,to decrease of a muscular tone.,19,31,4,6,da_en,decrease in muscle tone.,15.848738972120703
da,en,"Fænomenet, der overvejes som personlighed, er en tendens til inaktiv eksistens, ligegyldighed og manglende initiativ i forhold til partneren, miljøkravene. Dette er manglende evne til at vise sin egen vilje, manglende evne til at vise uafhængighed i familieforhold.","The phenomenon under consideration as a personality trait is a tendency towards inactive existence, indifference and lack of initiative in relation to the partner, the requirements of the environment. This is the inability to show one's own will, the inability to show independence in family relationships.",265,306,38,46,da_en,"The phenomenon considered as personality is a tendency to inert existence, indifference and lack of initiative in relation to the partner, environmental requirements.",22.281587440872674
da,en,- App starten,Camera accessories,13,18,3,2,da_en,- App start,0.0
da,en,"På Wyndham Atlanta Galleria Hotel tilbydes gæsterne værelser med gratis Wi-Fi, klimaanlæg med individuel styring, en privat værdiboks, kabel-tv og et køleskab. Badeværelser er udstyret med handicapvenlig brusekabine, en hårtørrer og toiletartikler.","Room amenities at Wyndham Atlanta Galleria Hotel include complimentary wireless internet, a laptop-size safe, a fridge, a sofa and iPod docking station. The bathrooms come with a shower, a hairdryer and toiletries for more comfort.",248,231,32,35,da_en,"The Wyndham Atlanta Galleria Hotel offers guest rooms with free Wi-Fi, individual climate control, a private safe, cable TV and a refrigerator. Bathrooms are equipped with a disabled shower, a hairdryer and toiletries.",22.125700681062643
da,en,Brug kode: BIGWIN,Use code: BIGWIN,17,16,3,3,da_en,Use code: BIGWIN,100.00000000000004
da,en,"En performance bruger, der tager denne anabolske steroid for bodybuilding cyklusser vil ofte gå ind i en tilstand af testosteron suppression. Dette er fordi syntetisk niveauer af dette hormon vil være så høj, at din krop vil reducere dens naturlige produktion.",A performance user that takes this anabolic steroid for bodybuilding cycles will often go into a state of testosterone suppression. This is because synthetic levels of this hormone will be so high that your body will reduce its natural production.,260,247,41,40,da_en,A performance user who takes this anabolic steroid for bodybuilding cycles will often go into a state of testosterone suppression. This is because synthetic levels of this hormone will be so high that your body will reduce its natural production.,93.70011451812971
da,en,Af Holger Nilsson,Reader Mail by nils,17,19,3,4,da_en,By Holger Nilsson,0.0
da,en,SØNDAG 6. SEPTEMBER,"SUNDAY, 6 SEPTEMBER",19,19,3,3,da_en,SUNDAY 6 SEPTEMBER,45.13864405503391
da,en,Mors dag-buketter,Funeral bouquets,17,16,2,2,da_en,Mother's Day Bouquets,0.0
da,en,"Knix 1,5% Magasiner",Knix 1.5% Shop Now,19,18,3,4,da_en,"Knix 1,5% Magazines",14.794015674776452
da,en,Konto-Information,Baggage Information,17,19,1,2,da_en,Account Information,49.99999999999999
da,en,Ris & bønner,Rice & Beans,12,12,3,3,da_en,Rice & Beans,100.00000000000004
